"Player","Team","G","MP","FG_pct","FTA","TRB","AST","stocks","PTS","Value_Billions","awards_1","awards_2plus","avg_salary_millions","Age_22_26","Age_27_31","Age_32_34","Age_35_plus","Pos_PF","Pos_PG","Pos_SF","Pos_SG","Age","Awards"
"Shai Gilgeous-Alexander","OKC",76,34.2,0.519,8.8,5,6.4,2.7,32.7,4.35,0,1,55.3591,1,0,0,0,0,1,0,0,"Age_1","2+ awards"
"Giannis Antetokounmpo","MIL",67,34.2,0.601,10.6,11.9,6.5,2.1,30.4,4.3,0,1,58.4566,0,1,0,0,1,0,0,0,"Age_2","2+ awards"
"Nikola Jokić","DEN",70,36.7,0.576,6.4,12.7,10.2,2.4,29.6,4.6,0,1,59.0331,0,1,0,0,0,0,0,0,"Age_2","2+ awards"
"Luka Dončić","2TM",50,35.4,0.45,7.9,8.2,7.7,2.2,28.2,NA,0,0,51.8379,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Anthony Edwards","MIN",79,36.3,0.447,6.3,5.7,4.5,1.8,27.6,3.6,0,1,50.6117,1,0,0,0,0,0,0,1,"Age_1","2+ awards"
"Jayson Tatum","BOS",72,36.4,0.452,6.1,8.7,6,1.6,26.8,6.7,0,1,62.7867,1,0,0,0,1,0,0,0,"Age_1","2+ awards"
"Kevin Durant","PHO",62,36.5,0.527,5.8,6,4.2,2,26.6,5.43,1,0,54.7086,0,0,0,1,1,0,0,0,"Age_4","1 award"
"Tyrese Maxey","PHI",52,37.7,0.437,5.6,3.3,6.1,2.2,26.3,5.45,0,0,42.1764,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Cade Cunningham","DET",70,35,0.469,5.3,6.1,9.1,1.8,26.1,3.65,0,1,53.8172,1,0,0,0,0,1,0,0,"Age_1","2+ awards"
"Jalen Brunson","NYK",65,35.4,0.488,6.9,2.9,7.3,1,26,9.75,0,1,39.1373,0,1,0,0,0,1,0,0,"Age_2","2+ awards"
"Paolo Banchero","ORL",46,34.4,0.452,8.4,7.5,4.8,1.4,25.9,3.9,0,0,40.251,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Devin Booker","PHO",75,37.3,0.461,6.4,4.1,7.1,1.1,25.6,5.43,0,0,60.8987,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"LaMelo Ball","CHO",47,32,0.405,4.9,4.9,7.4,1.4,25.2,3.8,0,0,42.1764,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Damian Lillard","MIL",58,36.1,0.448,6.8,4.7,7.1,1.4,24.9,4.3,1,0,31.9111,0,0,1,0,0,1,0,0,"Age_3","1 award"
"Anthony Davis","2TM",51,33.5,0.516,7.2,11.6,3.5,3.4,24.7,NA,1,0,58.4566,0,1,0,0,0,0,0,0,"Age_2","1 award"
"Kyrie Irving","DAL",50,36.1,0.473,4.3,4.8,4.6,1.8,24.7,5.1,1,0,39.4913,0,0,1,0,0,0,0,1,"Age_3","1 award"
"Zion Williamson","NOP",30,28.6,0.567,8,7.2,5.3,2.1,24.6,3.55,0,0,42.1665,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Stephen Curry","GSW",70,32.2,0.448,4.3,4.4,6,1.5,24.5,11,0,1,61.097,0,0,0,1,0,1,0,0,"Age_4","2+ awards"
"LeBron James","LAL",70,34.9,0.513,4.7,7.8,8.2,1.6,24.4,10,0,1,52.6272,0,0,0,1,0,0,1,0,"Age_4","2+ awards"
"Karl-Anthony Towns","NYK",72,35,0.526,5.7,12.8,3.1,1.7,24.4,9.75,0,1,57.0787,0,1,0,0,0,0,0,0,"Age_2","2+ awards"
"Victor Wembanyama","SAS",46,33.2,0.476,4.1,11,3.7,4.9,24.3,4.4,1,0,15.1226,0,0,0,0,0,0,0,0,NA,"1 award"
"Franz Wagner","ORL",60,33.7,0.463,5.2,5.7,4.7,1.7,24.2,3.9,0,0,44.8476,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Trae Young","ATL",76,36,0.411,7.4,3.1,11.6,1.4,24.2,5,1,0,47.4835,1,0,0,0,0,1,0,0,"Age_1","1 award"
"Donovan Mitchell","CLE",71,31.4,0.443,5.1,4.5,5,1.5,24,4.8,0,1,50.1056,0,1,0,0,0,0,0,1,"Age_2","2+ awards"
"Cam Thomas","BRK",25,31.2,0.438,6,3.3,3.8,0.7,24,5.6,0,0,5.9932,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Tyler Herro","MIA",77,35.4,0.472,4.2,5.2,5.5,1.1,23.9,5.7,1,0,32,1,0,0,0,0,0,0,1,"Age_1","1 award"
"Joel Embiid","PHI",19,30.2,0.444,8.9,8.2,4.5,1.6,23.8,5.45,0,0,60.8671,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"De'Aaron Fox","2TM",62,36.1,0.463,5.1,4.8,6.3,1.9,23.5,NA,0,0,52.0401,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Zach LaVine","2TM",74,35.2,0.511,3.9,4.3,4.2,1,23.3,NA,0,0,48.2335,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Ja Morant","MEM",50,30.4,0.454,6.4,4.1,7.3,1.4,23.2,3.5,0,0,42.1665,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"James Harden","LAC",79,35.3,0.41,7.3,5.8,8.7,2.2,22.8,7.5,0,1,40.75,0,0,0,1,0,1,0,0,"Age_4","2+ awards"
"Jaylen Brown","BOS",63,34.3,0.463,5.1,5.8,4.5,1.5,22.2,6.7,1,0,59.047,0,1,0,0,0,0,1,0,"Age_2","1 award"
"DeMar DeRozan","SAC",77,35.9,0.477,5.7,3.9,4.4,1.2,22.2,4.45,0,0,25.155,0,0,0,1,0,0,1,0,"Age_4","0 awards"
"Brandon Ingram","NOP",18,33.1,0.465,3.1,5.6,5.2,1.5,22.2,3.55,0,0,40,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Jaren Jackson Jr.","MEM",74,29.8,0.488,5.4,5.6,2,2.7,22.2,3.5,0,1,48,1,0,0,0,0,0,0,0,"Age_1","2+ awards"
"Norman Powell","LAC",60,32.6,0.484,4.4,3.2,2.1,1.4,21.8,7.5,0,0,20.4828,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Jalen Williams","OKC",69,32.4,0.484,4.3,5.3,5.1,2.3,21.6,4.35,0,1,38.5002,1,0,0,0,0,0,0,1,"Age_1","2+ awards"
"Kawhi Leonard","LAC",37,31.9,0.498,3.3,5.9,3.1,2.1,21.5,7.5,0,0,50.15,0,0,1,0,0,0,1,0,"Age_3","0 awards"
"Jamal Murray","DEN",67,36.1,0.474,3.7,3.9,6,1.9,21.4,4.6,0,0,51.9614,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Trey Murphy III","NOP",53,35,0.454,4.3,5.1,3.5,1.8,21.2,3.55,0,0,28,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"RJ Barrett","TOR",58,32.2,0.468,5.4,6.3,5.4,1.1,21.1,5.4,0,0,28.6607,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"CJ McCollum","NOP",56,32.7,0.444,3.1,3.8,4.1,1.2,21.1,3.55,0,0,30.6667,0,0,1,0,0,1,0,0,"Age_3","0 awards"
"Jalen Green","HOU",82,32.9,0.423,4.1,4.6,3.4,1.2,21,5.9,0,0,35.2786,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Brandon Miller","CHO",27,34.2,0.403,2.9,4.9,3.6,1.8,21,3.8,0,0,13.5367,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Darius Garland","CLE",75,30.7,0.472,3.4,2.9,6.7,1.3,20.6,4.8,1,0,42.1665,1,0,0,0,0,1,0,0,"Age_1","1 award"
"Jordan Poole","WAS",68,29.4,0.432,4,3,4.5,1.7,20.5,4.7,0,0,32.9464,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Coby White","CHI",74,33.1,0.453,4.1,3.7,4.5,1.1,20.4,6,0,0,12.8889,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Miles Bridges","CHO",64,31.7,0.431,4,7.5,3.9,1.4,20.3,3.8,0,0,23.913,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Austin Reaves","LAL",73,34.9,0.46,5,4.5,5.8,1.4,20.2,10,0,0,14.4182,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Pascal Siakam","IND",78,32.7,0.519,3.9,6.9,3.4,1.4,20.2,4.2,1,0,48.9246,0,1,0,0,1,0,0,0,"Age_2","1 award"
"Kristaps Porziņģis","BOS",42,28.8,0.483,4.7,6.8,2.1,2.2,19.5,6.7,0,0,30.7317,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Scottie Barnes","TOR",65,32.8,0.446,4.6,7.7,5.8,2.4,19.3,5.4,0,0,44.8476,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Anfernee Simons","POR",70,32.7,0.426,2.8,2.7,4.8,1,19.3,4.25,0,0,27.6786,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Desmond Bane","MEM",69,32,0.484,2.9,6.1,5.3,1.6,19.2,3.5,0,0,40.8063,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Domantas Sabonis","SAC",70,34.7,0.59,4.1,13.9,6,1.1,19.1,4.45,0,0,45.472,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Alperen Şengün","HOU",76,31.5,0.496,5.6,10.3,4.9,1.9,19.1,5.9,1,0,37,1,0,0,0,0,0,0,0,"Age_1","1 award"
"John Collins","UTA",40,30.5,0.527,4.1,8.2,2,2,19,4.1,0,0,26.58,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Lauri Markkanen","UTA",47,31.4,0.423,3.9,5.9,1.5,1.1,19,4.1,0,0,48.967,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Jalen Johnson","ATL",36,35.7,0.5,3.5,10,5,2.6,18.9,5,0,0,30,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Cameron Johnson","BRK",57,31.6,0.475,3.9,4.3,3.4,1.3,18.8,5.6,0,0,22.0598,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Julius Randle","MIN",69,32.3,0.485,4.9,7.1,4.7,0.9,18.7,3.6,0,0,33.3333,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Tyrese Haliburton","IND",73,33.6,0.473,3,3.5,9.2,2.1,18.6,4.2,1,0,50.6117,1,0,0,0,0,1,0,0,"Age_1","1 award"
"Evan Mobley","CLE",71,30.5,0.557,4.3,9.3,3.2,2.5,18.5,4.8,0,1,53.8172,1,0,0,0,1,0,0,0,"Age_1","2+ awards"
"Shaedon Sharpe","POR",72,31.3,0.452,3.4,4.5,2.8,1.1,18.5,4.25,0,0,8.4,0,0,0,0,0,0,0,1,NA,"0 awards"
"Nikola Vučević","CHI",73,31.2,0.53,2,10.1,3.5,1.5,18.5,6,0,0,21.4815,0,0,1,0,0,0,0,0,"Age_3","0 awards"
"Collin Sexton","UTA",63,27.9,0.48,4,2.7,4.2,0.8,18.4,4.1,0,0,18.975,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Michael Porter Jr.","DEN",77,33.7,0.504,2.5,7,2.1,1.1,18.2,4.6,0,0,39.5696,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Bam Adebayo","MIA",78,34.3,0.485,4.2,9.6,4.3,2,18.1,5.7,0,0,49.6122,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Andrew Wiggins","2TM",60,30.7,0.448,4.3,4.5,2.6,1.8,18,NA,0,0,29.1964,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"OG Anunoby","NYK",74,36.6,0.476,3.1,4.8,2.2,2.4,18,9.75,0,0,43.9655,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Mikal Bridges","NYK",82,37,0.5,1.4,3.2,3.7,1.4,17.6,9.75,0,0,34.98,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Jaden Ivey","DET",30,29.9,0.46,3.9,4.1,4,1.3,17.6,3.65,0,0,10.1072,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jimmy Butler","2TM",55,31.7,0.504,7.1,5.4,5.4,1.7,17.5,NA,0,0,55.4796,0,0,0,1,0,0,1,0,"Age_4","0 awards"
"Dejounte Murray","NOP",31,32.6,0.393,4,6.5,7.4,2.4,17.5,3.55,0,0,31.4459,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Malik Monk","SAC",65,31.6,0.439,2.7,3.8,5.6,1.5,17.2,4.45,0,0,20.19,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Immanuel Quickley","TOR",33,27.8,0.42,3.9,3.5,5.8,0.8,17.1,5.4,0,0,32.5,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"De'Andre Hunter","2TM",64,27.2,0.47,4,4,1.4,1,17,NA,0,0,24.1071,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Bradley Beal","PHO",53,32.1,0.497,2.6,3.3,3.7,1.6,17,5.43,0,0,32.321,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Deni Avdija","POR",72,30,0.476,5.2,7.3,3.9,1.5,16.9,4.25,0,0,13.125,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Keyonte George","UTA",67,31.5,0.391,4.3,3.8,5.6,0.8,16.8,4.1,0,0,5.4214,0,0,0,0,0,1,0,0,NA,"0 awards"
"Ivica Zubac","LAC",80,32.8,0.628,3,12.6,2.7,1.8,16.8,7.5,1,0,19.5502,0,1,0,0,0,0,0,0,"Age_2","1 award"
"Derrick White","BOS",76,33.9,0.442,2.1,4.5,4.8,2,16.4,6.7,0,0,31.472,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Malik Beasley","DET",82,27.8,0.43,1.7,2.6,1.7,1,16.3,3.65,0,0,NA,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Devin Vassell","SAS",64,31,0.443,1.9,4,2.9,1.8,16.3,4.4,0,0,26.413,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jordan Clarkson","UTA",37,26,0.408,3.9,3.2,3.7,1,16.2,4.1,0,0,16.582,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Paul George","PHI",41,32.5,0.43,2.4,5.3,4.3,2.3,16.2,5.45,0,0,54.1264,0,0,1,0,1,0,0,0,"Age_3","0 awards"
"Jalen Suggs","ORL",35,28.6,0.41,3.1,4,3.7,2.4,16.2,3.9,0,0,30.1,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Bennedict Mathurin","IND",72,29.8,0.458,4.6,5.3,1.9,1,16.1,4.2,0,0,9.1876,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Myles Turner","IND",72,30.2,0.481,3.3,6.5,1.5,2.8,15.6,4.2,0,0,27.2171,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Christian Braun","DEN",79,33.9,0.58,2.7,5.2,2.6,1.6,15.4,4.6,0,0,4.9218,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jonathan Kuminga","GSW",47,24.3,0.454,5,4.6,2.2,1.2,15.3,11,0,0,23.4,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Jared McCain","PHI",23,25.7,0.46,2.4,2.4,2.6,0.7,15.3,5.45,0,0,5.1427,0,0,0,0,0,0,0,1,NA,"0 awards"
"Mark Williams","CHO",44,26.6,0.604,3.7,10.2,2.5,1.9,15.3,3.8,0,0,6.2765,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Kelly Oubre Jr.","PHI",60,34.6,0.47,3.1,6.1,1.8,2,15.1,5.45,0,0,8.3822,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Chet Holmgren","OKC",32,27.4,0.49,4.2,8,2,2.9,15,4.35,0,0,39.9303,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Kyle Kuzma","2TM",65,29.8,0.436,3.1,5.7,2.3,0.9,14.8,NA,0,0,21.3779,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Stephon Castle","SAS",81,26.7,0.428,4.2,3.7,4.1,1.2,14.7,4.4,1,0,10.7489,0,0,0,0,0,0,0,1,NA,"1 award"
"Aaron Gordon","DEN",51,28.4,0.531,3.5,4.8,3.2,0.8,14.7,4.6,0,0,32.9734,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"P.J. Washington","DAL",57,32.2,0.453,3.5,7.8,2.3,2.2,14.7,5.1,0,0,20.5829,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Quentin Grimes","2TM",75,26.8,0.467,2.9,4.3,3,1.3,14.6,NA,0,0,8.7412,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Josh Giddey","CHI",70,30.2,0.465,3.2,8.1,7.2,1.8,14.6,6,0,0,25,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Jakob Poeltl","TOR",57,29.6,0.627,2.5,9.6,2.8,2.4,14.5,5.4,0,0,24.6168,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Deandre Ayton","POR",40,30.2,0.566,1.5,10.2,1.6,1.8,14.4,4.25,0,0,25.8794,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Gradey Dick","TOR",54,29.4,0.41,2.9,3.6,1.8,1.1,14.4,5.4,0,0,6.061,0,0,0,0,0,0,0,1,NA,"0 awards"
"Jerami Grant","POR",47,32.4,0.373,3.5,3.5,2.1,1.9,14.4,4.25,0,0,34.2069,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Payton Pritchard","BOS",80,28.4,0.472,1.1,3.8,3.5,1.1,14.3,6.7,0,0,7.7679,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Naz Reid","MIN",80,27.5,0.462,1.8,6,2.3,1.6,14.2,3.6,0,0,25,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Dyson Daniels","ATL",76,33.8,0.493,1.8,5.9,4.4,3.7,14.1,5,1,0,7.7077,0,0,0,0,0,0,0,1,NA,"1 award"
"Tre Mann","CHO",13,24.5,0.435,1.6,2.9,3,0.8,14.1,3.8,0,0,8,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Amen Thompson","HOU",69,32.2,0.557,3.6,8.2,3.8,2.7,14.1,5.9,1,0,10.9746,1,0,0,0,0,0,1,0,"Age_1","1 award"
"Fred VanVleet","HOU",60,35.2,0.378,2.3,3.7,5.6,2,14.1,5.9,0,0,25,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Dillon Brooks","HOU",75,31.8,0.429,1.6,3.7,1.7,1,14,5.9,0,0,20.5584,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Tolu Smith","DET",1,22,0.667,3,8,0,0,14,3.65,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Klay Thompson","DAL",72,27.3,0.412,1,3.4,2,1.1,14,5.1,0,0,17.0635,0,0,1,0,0,0,1,0,"Age_3","0 awards"
"Bobby Portis","MIL",49,25.4,0.466,1.5,8.4,2.1,1.2,13.9,4.3,0,0,14.5214,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Tobias Harris","DET",73,31.6,0.477,2.3,5.9,2.2,1.8,13.7,3.65,0,0,26.6341,0,0,1,0,1,0,0,0,"Age_3","0 awards"
"Josh Hart","NYK",77,37.6,0.525,2.7,9.6,5.9,1.9,13.6,9.75,0,0,20.9238,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Jarrett Allen","CLE",82,28,0.706,3.4,9.7,1.9,1.8,13.5,4.8,0,0,27.68,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Onyeka Okongwu","ATL",74,27.9,0.567,2.9,8.9,2.3,1.8,13.4,5,0,0,16,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Russell Westbrook","DEN",75,27.9,0.449,3.1,4.9,6.1,1.9,13.3,4.6,0,0,NA,0,0,0,1,0,1,0,0,"Age_4","0 awards"
"Naji Marshall","DAL",69,27.8,0.508,2.3,4.8,3,1.2,13.2,5.1,0,0,9.2143,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Dennis Schröder","3TM",75,28.1,0.406,2.9,2.6,5.4,1.1,13.1,NA,0,0,14.8092,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Rui Hachimura","LAL",59,31.7,0.509,1.9,5,1.4,1.2,13.1,10,0,0,18.2593,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Brook Lopez","MIL",80,31.8,0.509,1.7,5,1.8,2.5,13,4.3,0,0,8.9688,0,0,0,1,0,0,0,0,"Age_4","0 awards"
"Alex Sarr","WAS",67,27.1,0.394,2.5,6.5,2.4,2.2,13,4.7,0,0,13.2636,0,0,0,0,0,0,0,0,NA,"0 awards"
"Moritz Wagner","ORL",30,18.8,0.562,3.7,4.9,1.4,1.2,12.9,3.9,0,0,5,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Malcolm Brogdon","WAS",24,23.5,0.433,3.8,3.8,4.1,0.7,12.7,4.7,0,0,NA,0,0,1,0,0,1,0,0,"Age_3","0 awards"
"Scoot Henderson","POR",66,26.7,0.419,3.1,3,5.1,1.2,12.7,4.25,0,0,12.1668,0,0,0,0,0,1,0,0,NA,"0 awards"
"Keldon Johnson","SAS",77,23.9,0.482,2.5,4.8,1.6,0.9,12.7,4.4,0,0,17.5,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"D'Angelo Russell","2TM",58,25.5,0.39,2.5,2.8,5.1,1.4,12.6,NA,0,0,5.8271,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Zaccharie Risacher","ATL",75,24.6,0.458,2,3.6,1.2,1.2,12.6,5,0,0,14.8195,0,0,0,0,0,0,1,0,NA,"0 awards"
"Santi Aldama","MEM",65,25.5,0.483,1.4,6.4,2.9,1.2,12.5,3.5,0,0,17.5,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Ty Jerome","CLE",70,19.9,0.516,2.1,2.5,3.4,1.1,12.5,4.8,0,0,9.22,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Keegan Murray","SAC",76,34.3,0.444,0.9,6.7,1.4,1.7,12.4,4.45,0,0,11.1441,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Lonnie Walker IV","PHI",20,23.9,0.42,1.5,3.2,2.5,0.8,12.4,5.45,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Harrison Barnes","SAS",82,27.2,0.508,2.4,3.8,1.7,0.7,12.3,4.4,0,0,19,0,0,1,0,1,0,0,0,"Age_3","0 awards"
"Bilal Coulibaly","WAS",59,33,0.421,3.1,5,3.4,2,12.3,4.7,0,0,8.2578,0,0,0,0,0,0,1,0,NA,"0 awards"
"Ayo Dosunmu","CHI",46,30.3,0.492,1.7,3.5,4.5,1.3,12.3,6,0,0,7.5185,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Daniel Gafford","DAL",57,21.5,0.702,3.4,6.8,1.4,2.2,12.3,5.1,0,0,17.1917,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Jaden McDaniels","MIN",82,31.9,0.477,1.6,5.7,2,2.2,12.2,3.6,0,0,27.1034,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Jabari Smith Jr.","HOU",57,30.1,0.438,2.2,7,1.1,1.1,12.2,5.9,0,0,21.3848,0,0,0,0,1,0,0,0,NA,"0 awards"
"Caris LeVert","2TM",64,24.9,0.467,2.4,3.2,3.4,1.4,12.1,NA,0,0,14.4566,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Drew Timme","BRK",9,28.2,0.441,1.8,7.2,2.2,0.5,12.1,5.6,0,0,1.9554,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Tari Eason","HOU",57,24.9,0.487,1.8,6.4,1.5,2.6,12,5.9,0,0,5.6758,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Rudy Gobert","MIN",72,33.2,0.669,3.8,10.9,1.8,2.2,12,3.6,0,1,36.5,0,0,1,0,0,0,0,0,"Age_3","2+ awards"
"Aaron Nesmith","IND",45,25,0.507,1.8,4,1.2,1.2,12,4.2,0,0,11,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Aaron Wiggins","OKC",76,22.9,0.488,1.2,3.9,1.8,1,12,4.35,0,0,9.0047,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Khris Middleton","2TM",37,22.8,0.475,2.3,3.7,4.1,1.1,11.9,NA,0,0,33.2963,0,0,1,0,0,0,1,0,"Age_3","0 awards"
"Jalen Duren","DET",78,26.1,0.692,3.1,10.3,2.7,1.8,11.8,3.65,0,0,6.4831,0,0,0,0,0,0,0,0,NA,"0 awards"
"Donte DiVincenzo","MIN",62,25.9,0.422,1,3.7,3.6,1.5,11.7,3.6,0,0,12.2625,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Brandin Podziemski","GSW",64,26.8,0.445,1.5,5.1,3.4,1.3,11.7,11,0,0,4.6837,0,0,0,0,0,0,0,1,NA,"0 awards"
"Corey Kispert","WAS",61,26.3,0.451,1.4,3,1.7,0.6,11.6,4.7,0,0,13.5125,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Jeremy Sochan","SAS",54,25.3,0.535,2.3,6.5,2.4,1.3,11.4,4.4,0,0,7.0962,0,0,0,0,1,0,0,0,NA,"0 awards"
"Toumani Camara","POR",78,32.7,0.458,1.6,5.8,2.2,2.1,11.3,4.25,1,0,2.2217,1,0,0,0,1,0,0,0,"Age_1","1 award"
"Isaiah Hartenstein","OKC",57,27.9,0.581,2.1,10.7,3.8,1.9,11.2,4.35,0,0,28.5,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Buddy Hield","GSW",82,22.7,0.417,0.8,3.2,1.6,1.1,11.1,11,0,0,9.6585,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Jrue Holiday","BOS",62,30.6,0.443,1.2,4.3,3.9,1.5,11.1,6.7,0,0,34.8,0,0,1,0,0,1,0,0,"Age_3","0 awards"
"Walker Kessler","UTA",58,30,0.663,2.6,12.2,1.7,3,11.1,4.1,0,0,4.8789,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Gary Trent Jr.","MIL",74,25.6,0.431,1.2,2.3,1.2,1.1,11.1,4.3,0,0,3.7895,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Spencer Dinwiddie","DAL",79,27,0.416,3.1,2.6,4.4,1.1,11,5.1,0,0,NA,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Tim Hardaway Jr.","DET",77,28,0.406,1.9,2.4,1.6,0.6,11,3.65,0,0,2.2963,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Duncan Robinson","MIA",74,24.1,0.437,0.7,2.3,2.4,0.6,11,5.7,0,0,19.289,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Guerschon Yabusele","PHI",70,27.1,0.501,2,5.6,2.1,1.1,11,5.45,0,0,5.6375,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Brice Sensabaugh","UTA",71,20.2,0.459,1,3,1.5,0.7,10.9,4.1,0,0,3.778,0,0,0,0,0,0,1,0,NA,"0 awards"
"Bogdan Bogdanović","2TM",54,25,0.427,1.2,2.9,2.7,1,10.8,NA,0,0,16.02,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Jordan Hawkins","NOP",56,23.6,0.372,1.8,2.8,1.2,0.9,10.8,3.55,0,0,5.8816,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Brandon Boston Jr.","NOP",42,23.6,0.436,2,3.2,2.2,1.5,10.7,3.55,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Nikola Jović","MIA",46,25.1,0.456,1.9,3.9,2.8,1.1,10.7,5.7,0,0,4.4454,0,0,0,0,1,0,0,0,NA,"0 awards"
