"Player","Team","G","MP","FG_pct","FTA","TRB","AST","stocks","PTS","Value_Billions","awards_1","awards_2plus","avg_salary_millions","Age_22_26","Age_27_31","Age_32_34","Age_35_plus","Pos_PF","Pos_PG","Pos_SF","Pos_SG","Age","Awards"
"Talen Horton-Tucker","CHI",58,12.5,0.457,1.7,1.7,1.4,0.6,6.5,6,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Trey Lyles","SAC",69,19.6,0.42,1.2,4.6,1.2,0.9,6.5,4.45,0,0,NA,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Ajay Mitchell","OKC",36,16.6,0.495,1,1.9,1.8,0.8,6.5,4.35,0,0,2.9,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Gary Payton II","GSW",62,15,0.574,0.6,3,1.3,1.1,6.5,11,0,0,2.2963,0,0,1,0,0,0,0,1,"Age_3","0 awards"
"Zach Collins","2TM",64,15.3,0.507,1.2,4.5,1.7,1,6.4,NA,0,0,18.0805,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Kris Dunn","LAC",74,24.1,0.439,0.3,3.4,2.8,2.1,6.4,7.5,0,0,5.5556,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Ron Holland","DET",81,15.6,0.474,1.5,2.7,1,0.8,6.4,3.65,0,0,9.7394,0,0,0,0,0,0,1,0,NA,"0 awards"
"KJ Martin","2TM",43,21.2,0.552,1.1,2.9,1.1,0.9,6.4,NA,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Gabe Vincent","LAL",72,21.2,0.4,0.3,1.3,1.4,0.9,6.4,10,0,0,11.5,0,1,0,0,0,1,0,0,"Age_2","0 awards"
"Sandro Mamukelashvili","SAS",61,11.2,0.502,1,3.1,0.8,0.7,6.3,4.4,0,0,2.6314,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Jeremiah Robinson-Earl","NOP",66,18.8,0.455,0.8,4.8,1.3,0.7,6.3,3.55,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Kenrich Williams","OKC",69,16.4,0.483,0.6,3.5,1.4,0.7,6.3,4.35,0,0,7.163,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Bones Hyland","2TM",24,10,0.398,1.1,1,1.3,1,6.2,NA,0,0,2.2963,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Jonathan Mogbo","TOR",63,20.4,0.438,1.3,4.9,2.3,1.4,6.2,5.4,0,0,2.1258,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Ryan Rollins","MIL",56,14.6,0.487,0.8,1.9,1.9,1.1,6.2,4.3,0,0,4,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Dru Smith","MIA",14,19.1,0.508,0.9,2.6,1.6,1.9,6.2,5.7,0,0,2.6327,0,1,0,0,0,0,0,1,"Age_2","0 awards"
"Isaac Okoro","CLE",55,19.1,0.464,0.8,2.4,1.2,0.9,6.1,4.8,0,0,11.4074,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Jarace Walker","IND",75,15.8,0.472,0.9,3.1,1.5,1,6.1,4.2,0,0,7.572,0,0,0,0,1,0,0,0,NA,"0 awards"
"N'Faly Dante","HOU",4,12.8,0.769,1.3,5.3,0.5,1.6,6,5.9,0,0,2.2298,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Mouhamed Gueye","ATL",33,16.2,0.421,1.3,4.2,0.8,1.8,6,5,0,0,2.3139,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Luke Kornet","BOS",73,18.6,0.668,1.3,5.3,1.6,1.5,6,6.7,0,0,10.175,0,1,0,0,0,0,0,0,"Age_2","0 awards"
"Isaiah Mobley","PHI",1,17,0.286,2,4,5,2,6,5.45,0,0,NA,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Isaiah Stewart","DET",72,19.9,0.559,1.2,5.5,1.7,1.8,6,3.65,0,0,15,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"James Wiseman","IND",1,5,0.5,2,1,0,0,6,4.2,0,0,1,1,0,0,0,0,0,0,0,"Age_1","0 awards"
"Isaiah Wong","CHO",20,13.3,0.39,1.7,1.6,1.4,0.6,6,3.8,0,0,NA,1,0,0,0,0,0,0,1,"Age_1","0 awards"
"Cole Swider","2TM",10,16.9,0.349,0.1,2.7,0.3,0.6,5.9,NA,0,0,NA,1,0,0,0,0,0,1,0,"Age_1","0 awards"
"Chuma Okeke","2TM",9,21.8,0.5,0.3,5.2,1.7,1,5.9,NA,0,0,2.5467,1,0,0,0,1,0,0,0,"Age_1","0 awards"
"Kyle Anderson","2TM",61,16.4,0.469,1.1,3.4,2.4,1.2,5.9,NA,0,0,9.439,0,1,0,0,1,0,0,0,"Age_2","0 awards"
"Simone Fontecchio","DET",75,16.5,0.402,1.1,2.9,0.9,0.6,5.9,3.65,0,0,8.3077,0,1,0,0,0,0,1,0,"Age_2","0 awards"
"Collin Gillespie","PHO",33,14,0.43,0.7,2.4,2.4,0.8,5.9,5.43,0,0,2.2963,1,0,0,0,0,1,0,0,"Age_1","0 awards"
"Tidjane Salaün","CHO",60,20.7,0.33,1.6,4.7,1.2,0.7,5.9,3.8,0,0,8.8489,0,0,0,0,1,0,0,0,NA,"0 awards"
