Player,Age,Team,G,GS,MP,FGA,FG_pct,FTA,TRB,AST,stocks,PTS,Value_Billions,Awards,n_awards_won,awards_0,awards_1,awards_2plus,avg_salary_millions,Age_22_26,Age_27_31,Age_32_34,Age_35_plus,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Aaron Holiday,28.0,HOU,62.0,3.0,12.8,4.3,0.437,0.7,1.3,1.3,0.5,5.5,5.9,,0,1,0,0,2.2963,0,1,0,0,0,1,0,0
Jeff Green,38.0,HOU,32.0,3.0,12.4,3.8,0.504,0.8,1.8,0.6,0.3,5.4,5.9,,0,1,0,0,2.2963,0,0,0,1,1,0,0,0
Jonathan Isaac,27.0,ORL,71.0,1.0,15.4,4.6,0.414,1.5,4.4,0.6,2.0,5.4,3.9,,0,1,0,0,14.75,0,1,0,0,1,0,0,0
Dean Wade,28.0,CLE,59.0,30.0,21.2,4.6,0.413,0.5,4.2,1.3,1.0,5.4,4.8,,0,1,0,0,6.6235,0,1,0,0,1,0,0,0
Keaton Wallace,25.0,ATL,31.0,5.0,16.2,5.2,0.401,0.4,1.6,2.6,1.2,5.4,5.0,,0,1,0,0,,1,0,0,0,0,1,0,0
Kobe Bufkin,21.0,ATL,10.0,0.0,12.4,4.7,0.383,1.8,2.1,1.7,0.5,5.3,5.0,,0,1,0,0,4.5037,0,0,0,0,0,0,0,1
Jamal Cain,25.0,NOP,37.0,0.0,13.6,4.3,0.43,1.4,2.3,0.6,0.8,5.3,3.55,,0,1,0,0,,1,0,0,0,0,0,1,0
Pat Connaughton,32.0,MIL,41.0,1.0,14.7,4.3,0.469,0.8,2.7,1.7,0.5,5.3,4.3,,0,1,0,0,9.4239,0,0,1,0,0,0,0,1
Kevin Love,36.0,MIA,23.0,9.0,10.9,5.0,0.357,1.0,4.1,1.0,0.9,5.3,5.7,,0,1,0,0,4.15,0,0,0,1,1,0,0,0
Ben Sheppard,23.0,IND,63.0,9.0,19.5,4.6,0.418,0.4,2.8,1.3,0.8,5.3,4.2,,0,1,0,0,3.9112,1,0,0,0,0,0,0,1
Monte Morris,29.0,PHO,45.0,0.0,12.7,4.3,0.426,0.9,1.5,1.6,0.5,5.2,5.43,,0,1,0,0,,0,1,0,0,0,1,0,0
Jabari Walker,22.0,POR,60.0,1.0,12.5,3.8,0.515,1.2,3.5,0.6,0.7,5.2,4.25,,0,1,0,0,,1,0,0,0,1,0,0,0
Javonte Green,31.0,2TM,68.0,19.0,18.5,4.2,0.429,1.1,3.2,0.8,1.5,5.1,,,0,1,0,0,2.2963,0,1,0,0,0,0,0,1
Alex Reese,25.0,2TM,15.0,0.0,14.4,3.6,0.481,0.8,3.1,0.3,1.4,5.1,,,0,1,0,0,,1,0,0,0,1,0,0,0
Bismack Biyombo,32.0,SAS,28.0,26.0,18.9,4.1,0.588,0.9,5.6,1.1,1.4,5.1,4.4,,0,1,0,0,2.2963,0,0,1,0,0,0,0,0
Mitchell Robinson,26.0,NYK,17.0,3.0,17.1,3.3,0.661,1.1,5.9,0.8,2.0,5.1,9.75,,0,1,0,0,12.9545,1,0,0,0,0,0,0,0
Kai Jones,24.0,2TM,40.0,6.0,11.7,2.7,0.798,0.8,3.1,0.6,1.0,5.0,,,0,1,0,0,,1,0,0,0,0,0,0,0
Ben Simmons,28.0,2TM,51.0,24.0,22.0,4.4,0.52,0.6,4.7,5.6,1.2,5.0,,,0,1,0,0,,0,1,0,0,0,1,0,0
Malaki Branham,21.0,SAS,47.0,0.0,9.1,4.0,0.458,0.7,1.1,0.8,0.2,5.0,4.4,,0,1,0,0,4.962,0,0,0,0,0,0,0,1
Neemias Queta,25.0,BOS,62.0,6.0,13.9,3.3,0.65,1.0,3.8,0.7,1.0,5.0,6.7,,0,1,0,0,2.5088,1,0,0,0,0,0,0,0
Alondes Williams,25.0,DET,1.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,3.65,,0,1,0,0,,1,0,0,0,0,0,0,1
Jaylen Martin,21.0,2TM,16.0,0.0,14.9,4.6,0.419,0.6,2.8,1.1,0.6,4.9,,,0,1,0,0,,0,0,0,0,0,0,1,0
Lindy Waters III,27.0,2TM,52.0,9.0,15.0,4.8,0.369,0.2,2.1,1.0,0.7,4.9,,,0,1,0,0,2.2963,0,1,0,0,0,0,0,1
Trevelin Queen,27.0,ORL,31.0,2.0,13.9,4.7,0.381,0.7,1.7,1.2,1.3,4.9,3.9,,0,1,0,0,,0,1,0,0,0,0,0,1
Jock Landale,29.0,HOU,42.0,3.0,11.9,3.6,0.533,1.0,3.3,0.9,0.5,4.8,5.9,,0,1,0,0,10.2963,0,1,0,0,0,0,0,0
Colin Castleton,24.0,3TM,26.0,4.0,16.6,3.8,0.469,1.5,4.7,1.1,0.7,4.7,,,0,1,0,0,,1,0,0,0,0,0,0,0
Taylor Hendricks,21.0,UTA,3.0,3.0,25.0,6.0,0.222,1.3,5.0,0.7,3.0,4.7,4.1,,0,1,0,0,6.9665,0,0,0,0,1,0,0,0
David Roddy,23.0,3TM,33.0,3.0,12.4,3.8,0.456,0.8,2.5,1.1,0.7,4.6,,,0,1,0,0,,1,0,0,0,1,0,0,0
Drew Eubanks,27.0,2TM,61.0,4.0,12.2,3.2,0.593,1.2,3.7,0.9,0.8,4.6,,,0,1,0,0,2.2963,0,1,0,0,0,0,0,0
